Diagnose;Schlüssel;Anzahl von Diagnose
Dekubitus 3. Grades: Sonstige Lokalisationen der unteren Extremität;L89.28;Gefährlich
Ektropium des Augenlides;H02.1;Gefährlich
Dekubitus 3. Grades: Sonstige und nicht näher bezeichnete Lokalisationen;L89.29;Gefährlich
Angeborene Fehlbildung, nicht näher bezeichnet;Q89.9;Gefährlich
Anogenitale (venerische) Warzen;A63.0;Gefährlich
Chronische motorische oder vokale Ticstörung;F95.1;Gefährlich
Dekubitus 4. Grades: Kreuzbein;L89.34;Gefährlich
Akute Pelveoperitonitis bei der Frau;N73.3;Gefährlich
Akute Bronchiolitis, nicht näher bezeichnet;J21.9;Gefährlich
Allergische Rhinopathie, nicht näher bezeichnet;J30.4;Gefährlich
Delir ohne Demenz;F05.0;Gefährlich
Angeborene Fehlbildung des Herzens, nicht näher bezeichnet;Q24.9;Gefährlich
Blutung der Konjunktiva;H11.3;Gefährlich
Angeborene Fehlbildungen der Lippen, anderenorts nicht klassifiziert;Q38.0;Gefährlich
Barrett-Ösophagus;K22.7;Gefährlich
Erb-Lähmung durch Geburtsverletzung;P14.0;Gefährlich
Bösartige Neubildung anderer Atmungs- und intrathorakaler Organe in der Eigenanamnese;Z85.2;Gefährlich
Akute Lymphadenitis am Rumpf;L04.1;Gefährlich
Bösartige Neubildung der Genitalorgane in der Familienanamnese;Z80.4;Gefährlich
Erschöpfung durch übermäßige Anstrengung;T73.3;Gefährlich
Dermatitis durch sonstige oral, enteral oder parenteral aufgenommene Substanzen;L27.8;Gefährlich
Erworbene Keratosis palmoplantaris [Erworbenes Keratoma palmoplantare];L85.1;Gefährlich
Bösartige Neubildung der Harnorgane in der Eigenanamnese;Z85.5;Gefährlich
Chronisches nephritisches Syndrom: Diffuse mesangioproliferative Glomerulonephritis;N03.3;Gefährlich
Anosmie;R43.0;Gefährlich
Erythematöse Krankheit, nicht näher bezeichnet;L53.9;Gefährlich
Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Abnormer Enzymwert;R85.0;Gefährlich
Essstörung, nicht näher bezeichnet;F50.9;Gefährlich
Akute myeloblastische Leukämie [AML]: Ohne Angabe einer kompletten Remission;C92.00;Gefährlich
Extrarenale Urämie;R39.2;Gefährlich
Bösartige Neubildung in der Eigenanamnese, nicht näher bezeichnet;Z85.9;Gefährlich
Andere bösartige Neubildungen des lymphatischen, blutbildenden oder verwandten Gewebes in der Familienanamnese;Z80.7;Gefährlich
Fraktur der Klavikula: Laterales Drittel;S42.03;Gefährlich
Bakterielle Meningoenzephalitis und Meningomyelitis, anderenorts nicht klassifiziert;G04.2;Gefährlich
Fraktur der Klavikula: Mittleres Drittel;S42.02;Gefährlich
Folgen einer offenen Wunde der unteren Extremität;T93.0;Gefährlich
21-Hydroxylase-Mangel [AGS Typ 3], Late-onset-Form;E25.01;Gefährlich
Crohn-Krankheit, nicht näher bezeichnet;K50.9;Gefährlich
Angeborene subglottische Stenose;Q31.1;Gefährlich
Fraktur der Großzehe;S92.4;Gefährlich
Angeborene Subluxation des Hüftgelenkes, nicht näher bezeichnet;Q65.5;Gefährlich
Chromosomenanomalie, nicht näher bezeichnet;Q99.9;Gefährlich
Akutes und subakutes Leberversagen;K72.0;Gefährlich
Ekzema herpeticatum Kaposi;B00.0;Gefährlich
Akute Bronchitis durch Respiratory-Syncytial-Viren [RS-Viren];J20.5;Gefährlich
Chromosomenduplikationen mit sonstigen komplexen Rearrangements;Q92.5;Gefährlich
Angeborene Fehlbildung des Ohres, nicht näher bezeichnet;Q17.9;Gefährlich
Chronische Krankheit der Gaumenmandeln und der Rachenmandel, nicht näher bezeichnet;J35.9;Gefährlich
Beidseitiger Hörverlust durch Schallleitungsstörung;H90.0;Gefährlich
Angeborene Fehlbildung der Niere, nicht näher bezeichnet;Q63.9;Gefährlich
Angeborene Pneumonie durch Staphylokokken;P23.2;Gefährlich
Ataktischer Gang;R26.0;Gefährlich
Diskordante atrioventrikuläre Verbindung;Q20.5;Gefährlich
Austritt von Liquor cerebrospinalis;G96.0;Gefährlich
Angeborene Bronchusstenose;Q32.3;Gefährlich
Enteritis durch Yersinia enterocolitica;A04.6;Gefährlich
Angeborene Deformität der Hüfte, nicht näher bezeichnet;Q65.9;Gefährlich
Akute Peritonitis;K65.0;Gefährlich
Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben: Abnormer Hormonwert;R89.1;Gefährlich
Allergische und alimentäre Gastroenteritis und Kolitis;K52.2;Gefährlich
Dissoziative Bewegungsstörungen;F44.4;Gefährlich
Entwicklungsstörung schulischer Fertigkeiten, nicht näher bezeichnet;F81.9;Gefährlich
Brustschmerzen bei der Atmung;R07.1;Gefährlich
Entzündliche Krankheit eines nicht näher bezeichneten männlichen Genitalorgans;N49.9;Gefährlich
Dissoziierte Intelligenz: Keine oder geringfügige Verhaltensstörung;F74.0;Gefährlich
Chronische Oberflächengastritis;K29.3;Gefährlich
Benigne intrakranielle Hypertension [Pseudotumor cerebri];G93.2;Gefährlich
Allgemeine Beratung zu Fragen der Kontrazeption;Z30.0;Gefährlich
Bulimia nervosa;F50.2;Gefährlich
Alveoläre und parietoalveoläre Krankheitszustände;J84.0;Gefährlich
Distale Fraktur des Femurs: Interkondylär;S72.44;Gefährlich
Amblyopia ex anopsia;H53.0;Gefährlich
Distale Fraktur des Femurs: Suprakondylär;S72.43;Gefährlich
Angeborene Anämie durch fetalen Blutverlust;P61.3;Gefährlich
Distale Fraktur des Femurs: Teil nicht näher bezeichnet;S72.40;Gefährlich
Angeborene(s) Fehlen, Atresie und Stenose des Jejunums;Q41.1;Gefährlich
Distale Fraktur des Radius: Extensionsfraktur;S52.51;Gefährlich
Erosion der Zähne;K03.2;Gefährlich
Angeborene Zwerchfellhernie;Q79.0;Gefährlich
Beobachtung bei Verdacht auf Tuberkulose;Z03.0;Gefährlich
Abnorme Befunde bei der bildgebenden Diagnostik der Mamma [Brustdrüse];R92;Gefährlich
Erworbene isolierte aplastische Anämie, nicht näher bezeichnet;D60.9;Gefährlich
Acne vulgaris;L70.0;Gefährlich
Atresie der Apertura mediana [Foramen Magendii] oder der Aperturae laterales [Foramina Luschkae] des vierten Ventrikels;Q03.1;Gefährlich
Arthritis und Polyarthritis durch Staphylokokken: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];M00.04;Gefährlich
Erworbener Spitzfuß [Pes equinus];M21.62;Gefährlich
Angeborene Pneumonie durch Viren;P23.0;Gefährlich
Erythema infectiosum [Fünfte Krankheit];B08.3;Gefährlich
Arthritis, nicht näher bezeichnet: Mehrere Lokalisationen;M13.90;Gefährlich
Erythema toxicum neonatorum;P83.1;Gefährlich
Arzneimittelinduzierte Agranulozytose und Neutropenie: Kritische Phase unter 4 Tage;D70.10;Gefährlich
Essattacken bei anderen psychischen Störungen;F50.4;Gefährlich
Allergie gegenüber anderen Antibiotika in der Eigenanamnese;Z88.1;Gefährlich
Essentieller Tremor;G25.0;Gefährlich
Angeborene Zystenlunge;Q33.0;Gefährlich
Exanthema subitum [Sechste Krankheit];B08.2;Gefährlich
Asperger-Syndrom;F84.5;Gefährlich
Akute Cholezystitis;K81.0;Gefährlich
Allergie gegenüber Penicillin in der Eigenanamnese;Z88.0;Gefährlich
Fallhand oder Hängefuß (erworben): Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];M21.37;Gefährlich
Dysphonie;R49.0;Gefährlich
Atrioventrikulärer Block 3. Grades;I44.2;Gefährlich
Allergie gegenüber sonstigen Arzneimitteln, Drogen oder biologisch aktiven Substanzen in der Eigenanamnese;Z88.8;Gefährlich
Andere desintegrative Störung des Kindesalters;F84.3;Gefährlich
Asphyxie;R09.0;Gefährlich
Chylöser (Pleura-) Erguss;J94.0;Gefährlich
Abnorme Befunde in Untersuchungsmaterialien aus den weiblichen Genitalorganen: Abnorme zytologische Befunde;R87.6;Gefährlich
Flexionsdeformität: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];M21.21;Gefährlich
Cholangitis;K83.0;Gefährlich
Crohn-Krankheit des Dickdarmes;K50.1;Gefährlich
Einfache chronische Bronchitis;J41.0;Gefährlich
Crohn-Krankheit des Dünndarmes;K50.0;Gefährlich
Chondromalacia patellae;M22.4;Gefährlich
Akute Appendizitis mit lokalisierter Peritonitis mit Perforation oder Ruptur;K35.31;Gefährlich
Einseitiger Hörverlust durch Schallleitungsstörung bei nicht eingeschränktem Hörvermögen der anderen Seite;H90.1;Gefährlich
Folgezustände der Virusenzephalitis;B94.1;Gefährlich
Asymptomatische HIV-Infektion [Humane Immundefizienz-Virusinfektion];Z21;Gefährlich
Abszess, Furunkel und Karbunkel der Nase;J34.0;Gefährlich
Allergische Kontaktdermatitis durch Drogen oder Arzneimittel bei Hautkontakt;L23.3;Gefährlich
Angeborene Fehlbildungen des Gaumens, anderenorts nicht klassifiziert;Q38.5;Gefährlich
Allergische Kontaktdermatitis durch Kosmetika;L23.2;Gefährlich
Fraktur der Klavikula: Teil nicht näher bezeichnet;S42.00;Gefährlich
Akutes Nierenversagen, nicht näher bezeichnet: Stadium nicht näher bezeichnet;N17.99;Gefährlich
Diabetes mellitus, Typ 1: Mit Ketoazidose: Als entgleist bezeichnet;E10.11;Gefährlich
